Date,Forecast
2025-06-12,144.29550170898438
2025-06-13,141.23532104492188
2025-06-14,141.75286865234375
2025-06-15,142.63340759277344
2025-06-16,141.6945037841797
2025-06-17,141.9862518310547
2025-06-18,142.103759765625
2025-06-19,141.85397338867188
2025-06-20,141.96041870117188
2025-06-21,141.95391845703125
2025-06-22,141.8915252685547
2025-06-23,141.9216766357422
2025-06-24,141.90829467773438
2025-06-25,141.89306640625
2025-06-26,141.8992919921875
2025-06-27,141.89218139648438
2025-06-28,141.88800048828125
2025-06-29,141.88833618164062
2025-06-30,141.88519287109375
2025-07-01,141.88369750976562
2025-07-02,141.88307189941406
2025-07-03,141.88169860839844
2025-07-04,141.88099670410156
2025-07-05,141.88046264648438
2025-07-06,141.87985229492188
2025-07-07,141.8794708251953
2025-07-08,141.879150390625
2025-07-09,141.87884521484375
2025-07-10,141.87863159179688
